===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-03-13 15:36:20
count workspace : /Users/fabioespinosa/Desktop/runregistry
total files : 208
total code lines : 50778
total comment lines : 6225
total blank lines : 5753

.babelrc, code is 3, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/offline.js.d5e06e0ef9eba90a8f79.hot-update.js, code is 26, comment is 5, blank is 6.
.next/static/webpack/static/development/pages/offline.js.d5e06e0ef9eba90a8f79.hot-update.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/offline.js.df0a59d4e760886cdcfe.hot-update.js, code is 26, comment is 5, blank is 6.
.next/static/webpack/static/development/pages/offline.js.df0a59d4e760886cdcfe.hot-update.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/offline.js.f87e359649b8b0bb00e8.hot-update.js, code is 26, comment is 5, blank is 6.
.next/static/webpack/static/development/pages/offline.js.f87e359649b8b0bb00e8.hot-update.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/online.js.0b4cb2928161eff0cc8e.hot-update.js, code is 26, comment is 5, blank is 6.
.next/static/webpack/static/development/pages/online.js.0b4cb2928161eff0cc8e.hot-update.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/online.js.12a8b02110e394b2b3bf.hot-update.js, code is 26, comment is 5, blank is 6.
.next/static/webpack/static/development/pages/online.js.12a8b02110e394b2b3bf.hot-update.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/online.js.51f2b2a4f9ba7a94088a.hot-update.js, code is 26, comment is 5, blank is 6.
.next/static/webpack/static/development/pages/online.js.51f2b2a4f9ba7a94088a.hot-update.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/online.js.68f4a980e81d12a9dbba.hot-update.js, code is 26, comment is 5, blank is 6.
.next/static/webpack/static/development/pages/online.js.68f4a980e81d12a9dbba.hot-update.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/online.js.97d702bdf2643f4c0f27.hot-update.js, code is 26, comment is 5, blank is 6.
.next/static/webpack/static/development/pages/online.js.97d702bdf2643f4c0f27.hot-update.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/online.js.ac9980b4b6a70b7daac7.hot-update.js, code is 26, comment is 5, blank is 6.
.next/static/webpack/static/development/pages/online.js.ac9980b4b6a70b7daac7.hot-update.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/online.js.c257a3ae68b05bfa079c.hot-update.js, code is 26, comment is 5, blank is 6.
.next/static/webpack/static/development/pages/online.js.c257a3ae68b05bfa079c.hot-update.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/online.js.d28509db8b37dd8ae1bd.hot-update.js, code is 26, comment is 5, blank is 6.
.next/static/webpack/static/development/pages/online.js.d28509db8b37dd8ae1bd.hot-update.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/online.js.d5e06e0ef9eba90a8f79.hot-update.js, code is 26, comment is 5, blank is 6.
.next/static/webpack/static/development/pages/online.js.d5e06e0ef9eba90a8f79.hot-update.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/online.js.df0a59d4e760886cdcfe.hot-update.js, code is 26, comment is 5, blank is 6.
.next/static/webpack/static/development/pages/online.js.df0a59d4e760886cdcfe.hot-update.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/online.js.df4537ead34d7657ecc1.hot-update.js, code is 26, comment is 5, blank is 6.
.next/static/webpack/static/development/pages/online.js.df4537ead34d7657ecc1.hot-update.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/online.js.ebab5e3cb4f177dd77d0.hot-update.js, code is 26, comment is 5, blank is 6.
.next/static/webpack/static/development/pages/online.js.ebab5e3cb4f177dd77d0.hot-update.js.map, code is 1, comment is 0, blank is 0.
.next/static/webpack/static/development/pages/online.js.f87e359649b8b0bb00e8.hot-update.js, code is 26, comment is 5, blank is 6.
.next/static/webpack/static/development/pages/online.js.f87e359649b8b0bb00e8.hot-update.js.map, code is 1, comment is 0, blank is 0.
all.css.gz, it is a binary file.
auth/auth.js, code is 18, comment is 0, blank is 1.
components/common/ClassifierEditor/ClassifierEditor.js, code is 132, comment is 1, blank is 11.
components/common/ClassifierEditor/JSONEditor/JSONEditor.js, code is 25, comment is 0, blank is 2.
components/common/CommonTableComponents/CommonValueComponent.js, code is 12, comment is 0, blank is 2.
components/common/CommonTableComponents/PopoverContent.js, code is 116, comment is 1, blank is 5.
components/common/CommonTableComponents/Status.js, code is 199, comment is 2, blank is 3.
components/offline/configuration/columnConfiguration/ColumnConfiguration.js, code is 121, comment is 1, blank is 8.
components/offline/configuration/columnConfiguration/columnEditor/ColumnEditor.js, code is 100, comment is 0, blank is 4.
components/offline/configuration/componentClassifierConfiguration/ComponentClassifierConfiguration.js, code is 250, comment is 0, blank is 8.
components/offline/configuration/componentSyncConfiguration/ComponentSyncConfiguration.js, code is 64, comment is 5, blank is 1.
components/offline/configuration/ConfigurationModal.js, code is 72, comment is 1, blank is 3.
components/offline/configuration/datasetClassifierConfiguration/DatasetClassifierConfiguration.js, code is 123, comment is 0, blank is 8.
components/offline/configuration/datasetsAcceptedConfiguration/DatasetsAcceptedConfiguration.js, code is 182, comment is 1, blank is 8.
components/offline/configuration/datasetsAcceptedConfiguration/regexpEditor/RegexpEditor.js, code is 121, comment is 0, blank is 2.
components/offline/configuration/lumisectionExceptionSyncConfiguration/LumisectionExceptionSync.js, code is 209, comment is 2, blank is 11.
components/offline/dataset_table/columns/columns.js, code is 312, comment is 26, blank is 8.
components/offline/dataset_table/DatasetTable.js, code is 182, comment is 11, blank is 12.
components/offline/dataset_table/filters/format_filters.js, code is 82, comment is 8, blank is 1.
components/offline/dataset_table/filters/format_sortings.js, code is 7, comment is 0, blank is 0.
